fault,subject,revision_or_snapshot,layer,evaluation_surface,scope_reached,observed_failures,outcome,detection_or_input_boundary,evidence
D1,OpenSBI,262571217c75c649115633d8075cb6a40d940733+98617cfb36619784bfe54f463e39bcda1a7673d1,concrete_source,SBIUnit-enabled firmware under QEMU,8 suites; 41 cases,0 SBIUnit failures; 0 post-suite runtime markers,NOT_REJECTED,Complete-command adjudication: high PMP indices execute only on the ordinary post-suite firmware path; no existing failure signal,results_opensbi_raw.csv;logs/opensbi/provenance.txt;logs/opensbi/d1_pmpcfg_byte_fold.source.diff;logs/opensbi/d1_pmpcfg_byte_fold.commands.txt;logs/opensbi/d1_pmpcfg_byte_fold.test.summary;logs/opensbi/d1_pmpcfg_byte_fold.qemu.raw.console;logs/opensbi/d1_pmpcfg_byte_fold.sha256.txt;../B_opensbi_mutation/opensbi_upstream/lib/sbi/sbi_init.c;../B_opensbi_mutation/opensbi_upstream/lib/sbi/sbi_hart_pmp.c;../B_opensbi_mutation/opensbi_upstream/lib/sbi/tests/objects.mk;CLASSIFICATION_AUDIT.md
D1,RustSBI,2ec490f7a412be79edd677f08f3f93d12a91adfa,concrete_source,root cargo test --no-fail-fast,209 tests,0,NOT_EXERCISED,pmpm tests do not call the setter; mutated rlib changes but test binary matches baseline,results_rustsbi_raw.csv;logs/rustsbi/provenance.txt;logs/rustsbi/D1_pmpcfg_mod4.source.diff;logs/rustsbi/D1_pmpcfg_mod4.commands.txt;logs/rustsbi/D1_pmpcfg_mod4.cargo_build.out;logs/rustsbi/D1_pmpcfg_mod4.cargo_test.out;logs/rustsbi/D1_pmpcfg_mod4.rlib.sha256;logs/rustsbi/D1_pmpcfg_mod4.test_binary.sha256;logs/rustsbi/setter_test_call_audit.txt;CLASSIFICATION_AUDIT.md
D1,SeSBI,sha256:7b57908ec423058d4daeb35c8a9bb119ea079456d112e26166d2195e87256e7f,concrete_source,existing boot/snapshot/base-probe smoke,boot marker; CSR snapshot; successful base probe,0 before the frozen completion boundary,SURVIVED_NONTRIGGERING_INPUT,Fixed PMP indices are 0 and 1; distinguishing domain begins at index 4,results_sesbi_raw.csv;logs/sesbi/provenance.txt;logs/sesbi/d1_pmpcfg_byte_fold.source.diff;logs/sesbi/d1_pmpcfg_byte_fold.injection.txt;logs/sesbi/d1_pmpcfg_byte_fold.build.log;logs/sesbi/d1_pmpcfg_byte_fold.qemu.raw.console;logs/sesbi/d1_pmpcfg_byte_fold.sha256.txt;logs/sesbi/sbi_main.c.pristine;logs/sesbi/restoration_checks.txt;CLASSIFICATION_AUDIT.md
D1,SeSBI Dafny,sha256:8db30d5ff4d716ffc325975a2be7dd88839e29cc9a30fab36a26fb44ee297d28,paired_formal_model,dafny verify,baseline 308 verified; mutant 306 verified,2 verification errors,CAUGHT,Low/high byte-offset postconditions fail,results_formal_raw.csv;logs/formal/provenance.txt;logs/formal/d1_pmpcfg_byte_fold.source.diff;logs/formal/d1_pmpcfg_byte_fold.dfy.orig;logs/formal/d1_pmpcfg_byte_fold.dfy;logs/formal/d1_pmpcfg_byte_fold.verify.log
D1,SeSBI Isabelle,sha256:56487754924b1c51874aacdfc778c8ad293217f1c0d3b69e79afc6ce18203539,paired_formal_model,SeSBI_PMP build with quick_and_dirty=false,clean session passes; mutant session fails,2 proof failures,CAUGHT,cfg_byte_write_target and cfg_byte_write_frame fail,results_formal_raw.csv;logs/formal/provenance.txt;logs/formal/SeSBI_PMP_CfgPack.thy.orig;logs/formal/isabelle_d1_pmpcfg_byte_fold.source.diff;logs/formal/isabelle_d1_pmpcfg_byte_fold.thy;logs/formal/isabelle_d1_pmpcfg_byte_fold.build.log
D2,OpenSBI,262571217c75c649115633d8075cb6a40d940733+98617cfb36619784bfe54f463e39bcda1a7673d1,concrete_source,SBIUnit-enabled firmware under QEMU,8 suites; 41 cases,0 SBIUnit failures; 0 post-suite runtime markers,SURVIVED_NONTRIGGERING_INPUT,Complete-command adjudication: all fixed non-full-space bases are below 2^32; full-space base zero uses a separate encoder branch,results_opensbi_raw.csv;logs/opensbi/provenance.txt;logs/opensbi/d2_napot_base_low32.source.diff;logs/opensbi/d2_napot_base_low32.commands.txt;logs/opensbi/d2_napot_base_low32.test.summary;logs/opensbi/d2_napot_base_low32.qemu.raw.console;logs/opensbi/d2_napot_base_low32.sha256.txt;../B_opensbi_mutation/opensbi_upstream/lib/sbi/sbi_init.c;../B_opensbi_mutation/opensbi_upstream/lib/sbi/sbi_hart_pmp.c;../B_opensbi_mutation/opensbi_upstream/lib/sbi/sbi_pmp.c;../B_opensbi_mutation/opensbi_upstream/lib/sbi/tests/objects.mk;CLASSIFICATION_AUDIT.md
D2,RustSBI,2ec490f7a412be79edd677f08f3f93d12a91adfa,concrete_source,root cargo test --no-fail-fast,209 tests,0,SURVIVED_NONTRIGGERING_INPUT,test_encode_decode_napot runs but encode bases are 0; 0x10000; and 0x400000,results_rustsbi_raw.csv;logs/rustsbi/provenance.txt;logs/rustsbi/D2_napot_base_low32.source.diff;logs/rustsbi/D2_napot_base_low32.commands.txt;logs/rustsbi/D2_napot_base_low32.cargo_build.out;logs/rustsbi/D2_napot_base_low32.cargo_test.out;logs/rustsbi/D2_napot_base_low32.rlib.sha256;logs/rustsbi/D2_napot_base_low32.test_binary.sha256;logs/rustsbi/d2_existing_tested_bases.txt;CLASSIFICATION_AUDIT.md
D2,SeSBI,sha256:7b57908ec423058d4daeb35c8a9bb119ea079456d112e26166d2195e87256e7f,concrete_source,existing boot/snapshot/base-probe smoke,boot marker; CSR snapshot; successful base probe,0 before the frozen completion boundary,SURVIVED_NONTRIGGERING_INPUT,Starts are zero/full-space or 0x80000000; neither distinguishes low32 narrowing,results_sesbi_raw.csv;logs/sesbi/provenance.txt;logs/sesbi/d2_napot_base_low32.source.diff;logs/sesbi/d2_napot_base_low32.injection.txt;logs/sesbi/d2_napot_base_low32.build.log;logs/sesbi/d2_napot_base_low32.qemu.raw.console;logs/sesbi/d2_napot_base_low32.sha256.txt;logs/sesbi/sbi_main.c.pristine;logs/sesbi/restoration_checks.txt;CLASSIFICATION_AUDIT.md
D2,SeSBI Isabelle,sha256:c24994483247319c2705438d3c9892b782717626b280fa52f6c292ed7b8ca1a2,paired_formal_model,SeSBI_PMP build with quick_and_dirty=false,clean session passes; mutant session fails,2 proof failures,CAUGHT,encode_and_not_mask and encode_xor_succ fail before the later interval theorem is attempted,results_formal_raw.csv;logs/formal/provenance.txt;logs/formal/SeSBI_PMP_NAPOT.thy.orig;logs/formal/isabelle_d2_napot_addr32.source.diff;logs/formal/isabelle_d2_napot_addr32.thy;logs/formal/isabelle_d2_napot_addr32.build.log
D3,OpenSBI,262571217c75c649115633d8075cb6a40d940733+98617cfb36619784bfe54f463e39bcda1a7673d1,concrete_source,SBIUnit-enabled firmware under QEMU,8 suites; 41 cases,0 SBIUnit failures; 1 post-suite fatal trap report with 2 matched marker lines,CAUGHT,Complete-command adjudication: post_test_runtime_path; not an SBIUnit assertion,results_opensbi_raw.csv;logs/opensbi/provenance.txt;logs/opensbi/d3_pmpcfg_high_to_low_bank.source.diff;logs/opensbi/d3_pmpcfg_high_to_low_bank.commands.txt;logs/opensbi/d3_pmpcfg_high_to_low_bank.test.summary;logs/opensbi/d3_pmpcfg_high_to_low_bank.qemu.raw.console;logs/opensbi/d3_pmpcfg_high_to_low_bank.sha256.txt;../B_opensbi_mutation/opensbi_upstream/lib/sbi/sbi_init.c;../B_opensbi_mutation/opensbi_upstream/lib/sbi/sbi_hart_pmp.c;../B_opensbi_mutation/opensbi_upstream/lib/sbi/tests/objects.mk;CLASSIFICATION_AUDIT.md
D3,RustSBI,2ec490f7a412be79edd677f08f3f93d12a91adfa,concrete_source,root cargo test --no-fail-fast,209 tests,0,NOT_EXERCISED,pmpm tests do not call the setter; mutated rlib changes but test binary matches baseline,results_rustsbi_raw.csv;logs/rustsbi/provenance.txt;logs/rustsbi/D3_high_bank_to_cfg0.source.diff;logs/rustsbi/D3_high_bank_to_cfg0.commands.txt;logs/rustsbi/D3_high_bank_to_cfg0.cargo_build.out;logs/rustsbi/D3_high_bank_to_cfg0.cargo_test.out;logs/rustsbi/D3_high_bank_to_cfg0.rlib.sha256;logs/rustsbi/D3_high_bank_to_cfg0.test_binary.sha256;logs/rustsbi/setter_test_call_audit.txt;CLASSIFICATION_AUDIT.md
D3,SeSBI,sha256:7b57908ec423058d4daeb35c8a9bb119ea079456d112e26166d2195e87256e7f,concrete_source,existing boot/snapshot/base-probe smoke,boot marker; CSR snapshot; successful base probe,0 before the frozen completion boundary,SURVIVED_NONTRIGGERING_INPUT,Fixed PMP indices are 0 and 1; distinguishing domain begins at index 8,results_sesbi_raw.csv;logs/sesbi/provenance.txt;logs/sesbi/d3_pmpcfg_bank_fold.source.diff;logs/sesbi/d3_pmpcfg_bank_fold.injection.txt;logs/sesbi/d3_pmpcfg_bank_fold.build.log;logs/sesbi/d3_pmpcfg_bank_fold.qemu.raw.console;logs/sesbi/d3_pmpcfg_bank_fold.sha256.txt;logs/sesbi/sbi_main.c.pristine;logs/sesbi/restoration_checks.txt;CLASSIFICATION_AUDIT.md
D3,SeSBI Dafny,sha256:8db30d5ff4d716ffc325975a2be7dd88839e29cc9a30fab36a26fb44ee297d28,paired_formal_model,dafny verify,baseline 308 verified; mutant 306 verified,2 verification errors,CAUGHT,PmpIndexHighSelectsCfg2 and the combined high-index postcondition fail,results_formal_raw.csv;logs/formal/provenance.txt;logs/formal/d3_pmpcfg_high_bank.source.diff;logs/formal/d3_pmpcfg_high_bank.dfy.orig;logs/formal/d3_pmpcfg_high_bank.dfy;logs/formal/d3_pmpcfg_high_bank.verify.log
