claim_id,paper_location,original_description,recovery_artifact,notes
SETUP-ENV,Evaluation setup,VMware 8GB 4 CPU 512GB Ubuntu 20.04 QEMU 4.2.0 with GDB Isabelle 2025 Dafny,out/00_setup/toolchain_versions.txt,Records current toolchain and paper target versions for reproducibility recovery.
OBSERVED-STATUS,All experimental claims,Real observed evidence status,out/05_observed_evidence/observed_status.csv,Separates real observed support from target-only conversions.
SOURCE-ANCHORS,Verification results and case-study implementation anchors,Symbols and source patterns named by the paper,out/05_observed_evidence/source_anchor_summary.csv,Checks the five-instruction startup plus SBI3 console PMP mstatus timer cold-init definition and call comparator sentinel MTIE clear STIP clear and timer signedness anchors.
MAP-SYMBOLS,Verification results by extension,Build map symbols named by the paper,out/05_observed_evidence/map_symbol_summary.csv,Checks compiled firmware maps for _start sbi_timer_init timer-service console trap and PMP symbols.
TIMER-COLD-SOURCE,Figure 5 and timer cold-initialization subsection,Cold-start timer initialization is called after trap initialization and before PMP setup and installs a comparator sentinel while masking machine timer delivery,SeSBI-code/sbi/sbi_timer.c;SeSBI-code/sbi/sbi_main.c;out/05_observed_evidence/source_anchor_summary.csv;out/05_observed_evidence/map_symbol_summary.csv,Checks the definition and call plus comparator sentinel MTIE clear STIP clear and compiled sbi_timer_init symbol; source-to-model correspondence is manual.
TIMER-COLD-DAFNY,Timer cold-initialization subsection,Supplemental fixed-width whole-CSR cold-init postconditions and repeated-application stability of the selected postconditions,artifact/examples/dafny/TimerColdInitModel.dfy;tools/reproduction/reproduce.sh,Verified separately in dafny_service_models and not folded into the canonical 1609 obligations; exact full-state idempotency is supplied by the Isabelle model.
TIMER-SERVICE-DAFNY,Timer deadline-service subsection,Fixed-width expiration processing deadline-branch and TIME-call result contracts,artifact/examples/dafny/TimerServiceModel.dfy;SeSBI-code/sbi/sbi_timer.c;SeSBI-code/sbi/sbi_time.c;tools/reproduction/reproduce.sh,Dafny verifies all stated branches over bv64 model state including the C-faithful successful result error=0 value=0; the source mapping is documented rather than a C refinement proof.
TIMER-COLD-ISABELLE,Timer cold-initialization subsection,Abstract cold-init postconditions frame properties and idempotency,isabelle-SeSBI/SeSBI_Timer_ColdInit.thy;isabelle-SeSBI/ROOT,Part of the SeSBI_PMP session; documented manual source mapping and no mechanized C-to-model refinement.
SBI3-SURFACE,Evaluation setup,SeSBI follows SBI v3.0,out/01_sbi3/sbi3_surface.csv,Checks SBI v3.0-style BASE probe for seven EIDs and PMU non-support.
HISTORICAL-KLOC,Historical KLOC accounting not current Table 4,Implementation KLOC for startup timer console trap pmp,out/02_table4/table4_metrics.csv,Reconstructs source manifests and code-size accounting inputs retained from the earlier table layout.
HISTORICAL-RAW,Historical KLOC accounting not current Table 4,Earlier KLOC and coverage raw data,out/02_table4/table4_original_raw_data.csv,Converts the earlier paper target values into LOC-style raw data and verified LOC; target conversion is not observed evidence.
HISTORICAL-TOTALS,Historical KLOC accounting not current Table 4,Implementation total 5.87 KLOC weighted coverage 0.95 Dafny 5.43 Isabelle 94.8,out/02_table4/table4_original_totals.csv,Recomputes totals and weighted coverage from the earlier paper target values.
HISTORICAL-COVERAGE,Historical KLOC accounting not current Table 4,Coverage values 1.0 0.84 0.90 0.95 0.97,out/02_table4/coverage_mapping.csv,Records earlier target coverage and implementation-to-mechanization mappings.
HISTORICAL-MECH,Historical KLOC accounting not current Table 4,Dafny and Isabelle KLOC per component,out/02_table4/mechanization_metrics.csv,Counts current Dafny/Isabelle manifests and records earlier target values; this is not the current matched-mutation table.
HISTORICAL-COVERAGE-MAPPING,Historical KLOC accounting not current Table 4,Component anchors for the earlier line-level inventory,out/02_table4/coverage_mapping.csv,Retained accounting support only.
HISTORICAL-SEMANTIC-AUDIT,Historical KLOC accounting not current Table 4,Audit boundary between KLOC reproducibility and proof strength,out/11_table4_semantic_audit/table4_semantic_audit_status.csv,Retained accounting support only and not a current matched-mutation outcome.
EXT-STARTUP,Verification results by extension,_start in base.s boot sequence stack init mode setup,out/02_table4/source_aliases/base.s,Creates artifact alias for the paper source label and preserves _start evidence.
STARTUP-REPRO,Theorem 1 and verification results by extension,Five-instruction _start sequence in base.S,isabelle-SeSBI/Scratch.thy;out/07_startup_reproduction/startup_status.csv;out/08_startup_isabelle/startup_isabelle_status.csv,startup_program_executes_to_init_sequence proves abstract small-step execution reaches init_sequence and init_sequence_correctness proves its register postconditions under valid_init_state; source build map nm and QEMU checks anchor the selected operations.
THEOREM2-GLOBAL,Theorem 2 modeled-operation invariant preservation,Every operation in the eight-constructor sbi_operation datatype preserves system_invariant,isabelle-SeSBI/SeSBI_PMP_Global.thy;isabelle-SeSBI/ROOT,The theorem is sbi_operation_preserves_invariant over the abstract configuration state; it does not establish C refinement complete trap handling or an end-to-end isolation policy.
EXT-CONSOLE,Verification results by extension,sbi_console_putchar and sbi_console_getchar,out/02_table4/map_symbol_evidence.csv,Build/map evidence includes paper-named console symbols.
EXT-PMP,Verification results by extension,sbi_set_pmp request validation encoding and two-bank placement,SeSBI-code/sbi/sbi_main.c;SeSBI-code/tests/test_sbi_pmp.c;dafny-SeSBI-table4/PmpRoutineModel.dfy;isabelle-SeSBI/SeSBI_PMP_Banked.thy;out/02_table4/map_symbol_evidence.csv,Build/map evidence and a production-routine regression complement fixed-width Dafny and Isabelle target/frame properties over their well-formed 16-entry model states.
BUG-NAPOT,Case study,NAPOT mask off-by-one reproduced by harness; corrected interval property proved in Isabelle,out/03_case_studies/napot_roundtrip.log,Standalone harness reproduces incorrect and corrected masks; §5.4.1 proof is napot_interval_correct.
MUT-NAPOT-MATCHED,Matched-mutation subsection and table tab:matched-mutations,Same semantic NAPOT source mutation across OpenSBI RustSBI and SeSBI,experiments/C_matched_napot_mutation/results_matched.csv,Concrete outcomes are mixed and are not an overall test-quality ranking; symbolic manuscript anchors avoid stale section/table numbers.
MUT-NAPOT-SESBIFORMAL,Matched-mutation table tab:matched-mutations Panel B,Paired SeSBI Dafny and Isabelle NAPOT model mutations,experiments/C_matched_napot_mutation/results_formal_raw.csv,Model-level rejection is separate from the concrete-C run; no automatic C-to-model refinement is claimed.
TABLE4-D0-OPENSBI,Current Table 4 Panel A D0 OpenSBI,D0 concrete OpenSBI outcome,experiments/C_matched_napot_mutation/results_matched.csv row 2,Outcome is scoped to SBIUnit under QEMU and is not a project-level detection rate.
TABLE4-D0-RUSTSBI,Current Table 4 Panel A D0 RustSBI,D0 concrete RustSBI outcome,experiments/C_matched_napot_mutation/results_matched.csv row 3,Outcome is scoped to the recorded cargo test command.
TABLE4-D0-SESBI-SMOKE,Current Table 4 Panel A D0 SeSBI smoke,D0 concrete SeSBI unchanged-smoke outcome,experiments/C_matched_napot_mutation/results_matched.csv row 4,Separate from the added exact-value oracle.
TABLE4-D0-SESBI-ORACLE,Current Table 4 Panel A D0 SeSBI oracle,D0 added SeSBI exact-value oracle outcome,experiments/C_matched_napot_mutation/results_matched.csv row 5,Mutation-specific oracle is explicitly labeled and is not part of the unchanged smoke path.
TABLE4-D0-DAFNY,Current Table 4 Panel B D0 Dafny,D0 paired Dafny model outcome,experiments/C_matched_napot_mutation/results_formal_raw.csv row 3,Paired model result is separate from the concrete C run.
TABLE4-D0-ISABELLE,Current Table 4 Panel B D0 Isabelle,D0 paired Isabelle model outcome,experiments/C_matched_napot_mutation/results_formal_raw.csv row 5,Paired model result is separate from the concrete C run.
TABLE4-D1-OPENSBI,Current Table 4 Panel A D1 OpenSBI,D1 concrete OpenSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 2,Uses the preregistered complete-command adjudication.
TABLE4-D1-RUSTSBI,Current Table 4 Panel A D1 RustSBI,D1 concrete RustSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 3,Records the stated structural non-exercise boundary.
TABLE4-D1-SESBI,Current Table 4 Panel A D1 SeSBI,D1 concrete SeSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 4,Records the nontriggering fixed-input boundary.
TABLE4-D1-DAFNY,Current Table 4 Panel B D1 Dafny,D1 paired Dafny model outcome,experiments/D_additional_matched_mutations/results_additional.csv row 5,Paired model result does not verify the concrete source mutant.
TABLE4-D1-ISABELLE,Current Table 4 Panel B D1 Isabelle,D1 paired Isabelle model outcome,experiments/D_additional_matched_mutations/results_additional.csv row 6,Paired model result does not verify the concrete source mutant.
TABLE4-D2-OPENSBI,Current Table 4 Panel A D2 OpenSBI,D2 concrete OpenSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 7,Records the nontriggering fixed-base boundary.
TABLE4-D2-RUSTSBI,Current Table 4 Panel A D2 RustSBI,D2 concrete RustSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 8,Records the tested-base boundary.
TABLE4-D2-SESBI,Current Table 4 Panel A D2 SeSBI,D2 concrete SeSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 9,Records the nontriggering fixed-input boundary.
TABLE4-D2-ISABELLE,Current Table 4 Panel B D2 Isabelle,D2 paired Isabelle model outcome,experiments/D_additional_matched_mutations/results_additional.csv row 10,Paired model result does not verify the concrete source mutant.
TABLE4-D3-OPENSBI,Current Table 4 Panel A D3 OpenSBI,D3 concrete OpenSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 11,Retained result is command-level CAUGHT after the SBIUnit summaries and not an SBIUnit assertion.
TABLE4-D3-RUSTSBI,Current Table 4 Panel A D3 RustSBI,D3 concrete RustSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 12,Records the stated structural non-exercise boundary.
TABLE4-D3-SESBI,Current Table 4 Panel A D3 SeSBI,D3 concrete SeSBI outcome,experiments/D_additional_matched_mutations/results_additional.csv row 13,Records the nontriggering fixed-input boundary.
TABLE4-D3-DAFNY,Current Table 4 Panel B D3 Dafny,D3 paired Dafny model outcome,experiments/D_additional_matched_mutations/results_additional.csv row 14,Paired model result does not verify the concrete source mutant.
MUT-RUSTSBI-PROTOTYPER-SCOPE,Historical supporting observation,RustSBI prototyper target is excluded from default cargo test,experiments/B_opensbi_mutation/results_rustsbi_raw.csv,NOT EXERCISED structural observation; not part of the matched comparison.
